label,bucket_value,n,pos_rate,err_rate,FNR,FPR,bucket_type,variant
fake_urgency,13+,60.0,0.38333333333333336,0.05,0.08695652173913043,0.02702702702702703,len_words_bucket,SYSTEM
fake_urgency,DATE,2.0,0.5,0.5,0.0,1.0,ph_profile,SYSTEM
fake_urgency,MONEY,1.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,NUM,120.0,0.30833333333333335,0.225,0.13513513513513514,0.26506024096385544,ph_profile,SYSTEM
fake_urgency,PEOPLE,81.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,PEOPLE+NUM,9.0,0.0,0.1111111111111111,0.0,0.1111111111111111,ph_profile,SYSTEM
fake_urgency,SCARCITY,9.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,SCARCITY+NUM,4.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,SCARCITY+PEOPLE,5.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,SCARCITY+SOCIAL_COUNT,10.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,SOCIAL_COUNT,11.0,0.0,0.2727272727272727,0.0,0.2727272727272727,ph_profile,SYSTEM
fake_urgency,SOCIAL_COUNT+NUM,2.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,STOCK,17.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,STOCK+NUM,1.0,1.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,TIMER,82.0,0.9146341463414634,0.08536585365853659,0.0,1.0,ph_profile,SYSTEM
fake_urgency,TIMER+DATE,1.0,1.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,TIMER+MONEY,2.0,1.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,TIMER+NUM,34.0,0.9411764705882353,0.058823529411764705,0.0,1.0,ph_profile,SYSTEM
fake_urgency,TIMER+PEOPLE,1.0,0.0,0.0,0.0,0.0,ph_profile,SYSTEM
fake_urgency,TIMER+SOCIAL_COUNT,2.0,0.0,1.0,0.0,1.0,ph_profile,SYSTEM
fake_urgency,none,211.0,0.2037914691943128,0.12796208530805686,0.32558139534883723,0.07738095238095238,ph_profile,SYSTEM
fake_urgency,47street,2.0,1.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,820 compraron este artículo recientemente.,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,Amazon,2.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,Baeldung,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,Bicycling.com,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,Booklinen,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,ClickUp,1.0,0.0,1.0,0.0,1.0,source,SYSTEM
fake_urgency,CocaCola,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,Delish,2.0,0.0,0.5,0.0,0.5,source,SYSTEM
fake_urgency,Desconocido,53.0,0.16981132075471697,0.20754716981132076,0.5555555555555556,0.13636363636363635,source,SYSTEM
fake_urgency,Despegar,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,Dogsters,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,FashionNova,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,IA,11.0,0.0,0.36363636363636365,0.0,0.36363636363636365,source,SYSTEM
fake_urgency,JuanMenorio,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,LaNacion,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
fake_urgency,Logo,1.0,0.0,0.0,0.0,0.0,source,SYSTEM
