feature,mean_A,mean_B,diff,kind,label,pair
más de,0.019422998029810977,0.0,0.019422998029810977,word,fake_scarcity,FN_vs_TP
en su,0.019303615214654804,0.0,0.019303615214654804,word,fake_scarcity,FN_vs_TP
__people__ tienen,0.019303615214654804,0.0,0.019303615214654804,word,fake_scarcity,FN_vs_TP
en su carrito,0.019303615214654804,0.0,0.019303615214654804,word,fake_scarcity,FN_vs_TP
tiene mucha,0.019275217207619665,0.0,0.019275217207619665,word,fake_scarcity,FN_vs_TP
tiene,0.019275217207619665,0.0,0.019275217207619665,word,fake_scarcity,FN_vs_TP
tiene mucha demanda,0.019275217207619665,0.0,0.019275217207619665,word,fake_scarcity,FN_vs_TP
popular,0.019241056230377605,0.0,0.019241056230377605,word,fake_scarcity,FN_vs_TP
carrito tienen,0.018806354408282044,0.0,0.018806354408282044,word,fake_scarcity,FN_vs_TP
tu carrito tienen,0.018806354408282044,0.0,0.018806354408282044,word,fake_scarcity,FN_vs_TP
en tu carrito,0.024537835763936092,0.006205678972223971,0.01833215679171212,word,fake_scarcity,FN_vs_TP
en tu,0.024537835763936092,0.006205678972223971,0.01833215679171212,word,fake_scarcity,FN_vs_TP
tu carrito,0.024537835763936092,0.006205678972223971,0.01833215679171212,word,fake_scarcity,FN_vs_TP
un artículo,0.017730970577883635,0.0,0.017730970577883635,word,fake_scarcity,FN_vs_TP
muy,0.01693668288568425,0.0,0.01693668288568425,word,fake_scarcity,FN_vs_TP
artículos,0.030298824648265207,0.013628484340325007,0.0166703403079402,word,fake_scarcity,FN_vs_TP
este artículo,0.026187078691537136,0.010421239051911498,0.015765839639625637,word,fake_scarcity,FN_vs_TP
ema,0.04237202502382581,0.0,0.04237202502382581,char,fake_scarcity,FN_vs_TP
dem,0.03967610925516581,0.0,0.03967610925516581,char,fake_scarcity,FN_vs_TP
 dem,0.03967610925516581,0.0,0.03967610925516581,char,fake_scarcity,FN_vs_TP
 dema,0.03967610925516581,0.0,0.03967610925516581,char,fake_scarcity,FN_vs_TP
dema,0.03967610925516581,0.0,0.03967610925516581,char,fake_scarcity,FN_vs_TP
 de,0.048032408192786105,0.008733837468833255,0.03929857072395285,char,fake_scarcity,FN_vs_TP
eman,0.03884637123103001,0.0,0.03884637123103001,char,fake_scarcity,FN_vs_TP
man,0.03884637123103001,0.0,0.03884637123103001,char,fake_scarcity,FN_vs_TP
and,0.038810234465547926,0.0,0.038810234465547926,char,fake_scarcity,FN_vs_TP
mand,0.03749841334670002,0.0,0.03749841334670002,char,fake_scarcity,FN_vs_TP
deman,0.03749841334670002,0.0,0.03749841334670002,char,fake_scarcity,FN_vs_TP
emand,0.03749841334670002,0.0,0.03749841334670002,char,fake_scarcity,FN_vs_TP
manda,0.03749841334670002,0.0,0.03749841334670002,char,fake_scarcity,FN_vs_TP
nda,0.03749841334670002,0.0,0.03749841334670002,char,fake_scarcity,FN_vs_TP
anda,0.03749841334670002,0.0,0.03749841334670002,char,fake_scarcity,FN_vs_TP
to ,0.03663593538427569,0.005398803865503639,0.03123713151877205,char,fake_scarcity,FN_vs_TP
 al,0.026145255386498263,0.0,0.026145255386498263,char,fake_scarcity,FN_vs_TP
ta ,0.025329830923174177,0.0,0.025329830923174177,char,fake_scarcity,FN_vs_TP
 pr,0.03370139111508805,0.008402999455310797,0.02529839165977725,char,fake_scarcity,FN_vs_TP
anda ,0.024634786783276817,0.0,0.024634786783276817,char,fake_scarcity,FN_vs_TP
nda ,0.024634786783276817,0.0,0.024634786783276817,char,fake_scarcity,FN_vs_TP
 alt,0.024534773657331414,0.0,0.024534773657331414,char,fake_scarcity,FN_vs_TP
alta,0.024534773657331414,0.0,0.024534773657331414,char,fake_scarcity,FN_vs_TP
alt,0.024534773657331414,0.0,0.024534773657331414,char,fake_scarcity,FN_vs_TP
 alta,0.024534773657331414,0.0,0.024534773657331414,char,fake_scarcity,FN_vs_TP
lta,0.024534773657331414,0.0,0.024534773657331414,char,fake_scarcity,FN_vs_TP
da ,0.025311206601778796,0.0025405450388650427,0.022770661562913755,char,fake_scarcity,FN_vs_TP
lta ,0.021880981526986497,0.0,0.021880981526986497,char,fake_scarcity,FN_vs_TP
alta ,0.021880981526986497,0.0,0.021880981526986497,char,fake_scarcity,FN_vs_TP
pro,0.021693818800602473,0.0,0.021693818800602473,char,fake_scarcity,FN_vs_TP
 pro,0.021693818800602473,0.0,0.021693818800602473,char,fake_scarcity,FN_vs_TP
 ti,0.02048079271117615,0.0,0.02048079271117615,char,fake_scarcity,FN_vs_TP
tiene,0.02048079271117615,0.0,0.02048079271117615,char,fake_scarcity,FN_vs_TP
 tien,0.02048079271117615,0.0,0.02048079271117615,char,fake_scarcity,FN_vs_TP
ene,0.02048079271117615,0.0,0.02048079271117615,char,fake_scarcity,FN_vs_TP
tien,0.02048079271117615,0.0,0.02048079271117615,char,fake_scarcity,FN_vs_TP
tie,0.02048079271117615,0.0,0.02048079271117615,char,fake_scarcity,FN_vs_TP
 tie,0.02048079271117615,0.0,0.02048079271117615,char,fake_scarcity,FN_vs_TP
iene,0.02048079271117615,0.0,0.02048079271117615,char,fake_scarcity,FN_vs_TP
ito,0.023927965181653084,0.003990329168507236,0.019937636013145847,char,fake_scarcity,FN_vs_TP
rit,0.023927965181653084,0.003990329168507236,0.019937636013145847,char,fake_scarcity,FN_vs_TP
